,feat_above_sma200,feat_golden_cross,feat_adx_14,feat_days_below_sma200,feat_vix_percentile_60d,feat_trend_strength_20d
2006-08-22,0.0,0.0,23.359274524258588,0.0,0.03333333333333333,0.0027934793973055107
2006-08-23,0.0,0.0,24.0314466581714,0.0,0.08333333333333333,0.0028724810293818143
2006-08-24,0.0,0.0,24.65560649680473,0.0,0.1,0.0028028901047809284
2006-08-25,0.0,0.0,25.59099199191606,0.0,0.08333333333333333,0.003001240956233104
2006-08-28,0.0,0.0,26.63580247530498,0.0,0.03333333333333333,0.0032367249632234757
2006-08-29,0.0,0.0,27.437844015745238,0.0,0.1,0.003216795463179406
2006-08-30,0.0,0.0,28.516504074148674,0.0,0.08333333333333333,0.0033375655981032065
2006-08-31,0.0,0.0,29.51811698552329,0.0,0.15,0.0034773708803569935
2006-09-01,0.0,0.0,30.67380778387774,0.0,0.03333333333333333,0.003535066588512862
2006-09-05,0.0,0.0,32.063288920775186,0.0,0.23333333333333334,0.003537036016658773
2006-09-06,0.0,0.0,32.57696377851143,0.0,0.35,0.0031533445965892877
2006-09-07,0.0,0.0,32.30660104816429,0.0,0.36666666666666664,0.0025781519727373398
2006-09-08,0.0,0.0,32.05554994141338,0.0,0.31666666666666665,0.0020911659876169547
2006-09-11,0.0,0.0,32.34712167400282,0.0,0.25,0.001517654382521292
2006-09-12,0.0,0.0,33.43682337802566,0.0,0.03333333333333333,0.0012022876224901892
2006-09-13,0.0,0.0,34.638891946688126,0.0,0.016666666666666666,0.0012628575033520808
2006-09-14,0.0,0.0,35.99670125197789,0.0,0.03333333333333333,0.001611306463079461
2006-09-15,0.0,0.0,37.48346446977896,0.0,0.06666666666666667,0.0020005150477295547
2006-09-18,0.0,0.0,38.661944301498565,0.0,0.08333333333333333,0.002369396999797095
2006-09-19,0.0,0.0,38.43944810475062,0.0,0.13333333333333333,0.0024637505428389177
2006-09-20,0.0,0.0,38.60919352682151,0.0,0.03333333333333333,0.0026612415865433932
2006-09-21,0.0,0.0,38.92730985709643,0.0,0.25,0.002634386036410112
2006-09-22,0.0,0.0,38.13179030442613,0.0,0.36666666666666664,0.002466663108054062
2006-09-25,0.0,0.0,38.07081643164401,0.0,0.16666666666666666,0.002452828705634559
2006-09-26,0.0,0.0,38.184939558154404,0.0,0.05,0.0025687839085736463
2006-09-27,0.0,0.0,38.472432883326384,0.0,0.08333333333333333,0.0026493051147962114
2006-09-28,0.0,0.0,38.52881814919009,0.0,0.11666666666666667,0.002754130602279425
2006-09-29,0.0,0.0,38.63582555533656,0.0,0.21666666666666667,0.002728963248051669
2006-10-02,0.0,0.0,37.18704713303793,0.0,0.45,0.002560213234679301
2006-10-03,0.0,0.0,35.35018223848484,0.0,0.3333333333333333,0.0025164010620142194
2006-10-04,0.0,0.0,34.94888023769298,0.0,0.16666666666666666,0.002433322850815348
2006-10-05,0.0,0.0,34.89100819086128,0.0,0.25,0.0023040132188248226
2006-10-06,0.0,0.0,34.83726986166041,0.0,0.08333333333333333,0.002138527109275415
2006-10-09,0.0,0.0,35.02146654813717,0.0,0.13333333333333333,0.0020033835861103647
2006-10-10,0.0,0.0,35.19250632843701,0.0,0.05,0.0020758881978143787
2006-10-11,0.0,0.0,34.929665061457534,0.0,0.13333333333333333,0.0021607940743450724
2006-10-12,0.0,0.0,35.28179579111544,0.0,0.016666666666666666,0.0023883766406145417
2006-10-13,0.0,0.0,35.943023245724646,0.0,0.016666666666666666,0.002679159186836673
2006-10-16,0.0,0.0,36.67626269189064,0.0,0.05,0.002915105701792252
2006-10-17,0.0,0.0,35.56274766601576,0.0,0.25,0.002843358428769341
2006-10-18,1.0,0.0,34.70250603595566,0.0,0.08333333333333333,0.0028254845059649484
2006-10-19,1.0,0.0,33.746805550009356,0.0,0.03333333333333333,0.0026780555901621404
2006-10-20,1.0,0.0,32.859369384487785,0.0,0.016666666666666666,0.0023872176080547477
2006-10-23,1.0,0.0,32.859550789374985,0.0,0.06666666666666667,0.0024112241581299566
2006-10-24,1.0,1.0,32.859719236770246,0.0,0.05,0.0023866015332554094
2006-10-25,1.0,1.0,32.97141863494246,0.0,0.03333333333333333,0.002359834825317794
2006-10-26,1.0,1.0,33.66164185981022,0.0,0.016666666666666666,0.0024386044536688902
2006-10-27,1.0,1.0,33.84339526966345,0.0,0.1,0.0022308792016556126
2006-10-30,1.0,1.0,33.94517144141652,0.0,0.2,0.0018212900209058844
2006-10-31,1.0,1.0,34.22086434383298,0.0,0.18333333333333332,0.0014364827517618656
2006-11-01,1.0,1.0,32.9192437303438,0.0,0.26666666666666666,0.001164160652310921
2006-11-02,1.0,1.0,31.486312808109194,0.0,0.26666666666666666,0.0009348423274348739
2006-11-03,1.0,1.0,29.791122902385457,0.0,0.2,0.0006177503752295563
2006-11-06,1.0,1.0,29.291451784465355,0.0,0.21666666666666667,0.0005323608272645895
2006-11-07,1.0,1.0,29.454665478163175,0.0,0.18333333333333332,0.0005405180943139264
2006-11-08,1.0,1.0,29.773572600512345,0.0,0.08333333333333333,0.0005444706478847529
2006-11-09,1.0,1.0,30.29567852666766,0.0,0.15,0.0006777983443317706
2006-11-10,1.0,1.0,30.78049117238331,0.0,0.11666666666666667,0.0009336030545275957
2006-11-13,1.0,1.0,31.932556301855396,0.0,0.15,0.0013188603606177486
2006-11-14,1.0,1.0,33.48154134158199,0.0,0.016666666666666666,0.0016420525463766832
2006-11-15,1.0,1.0,35.316735411365485,0.0,0.016666666666666666,0.0018918872168668583
2006-11-16,1.0,1.0,37.03823383023211,0.0,0.016666666666666666,0.002157708548353573
2006-11-17,1.0,1.0,38.38640992949331,0.0,0.016666666666666666,0.002385817918335893
2006-11-20,1.0,1.0,39.819018408699485,0.0,0.016666666666666666,0.0027126273492439836
2006-11-21,1.0,1.0,41.17956180740291,0.0,0.016666666666666666,0.0028901271584854597
2006-11-22,1.0,1.0,42.68017360544399,0.0,0.06666666666666667,0.003166198121647755
2006-11-24,1.0,1.0,44.17712070260307,0.0,0.18333333333333332,0.0035014184131421187
2006-11-27,1.0,1.0,43.02684521798465,0.0,0.8833333333333333,0.0033052374766529887
2006-11-28,1.0,1.0,41.16593220449872,0.0,0.65,0.0031097265445340786
2006-11-29,1.0,1.0,40.00522021497966,0.0,0.2833333333333333,0.0029931867460555356
2006-11-30,1.0,1.0,39.0851288595825,0.0,0.3333333333333333,0.002631236770075449
2006-12-01,1.0,1.0,36.92570214014507,0.0,0.7,0.002106846931481471
2006-12-04,1.0,1.0,35.1586503411502,0.0,0.5166666666666667,0.001637791974949872
2006-12-05,1.0,1.0,33.648088400340825,0.0,0.5333333333333333,0.001382394196840408
2006-12-06,1.0,1.0,31.944703438812564,0.0,0.55,0.0011249302618602547
2006-12-07,1.0,1.0,29.81952804018021,0.0,1.0,0.0007135099664262513
