,feat_volume_ratio,feat_volume_trend_5d,feat_obv_roc_10d,feat_vol_price_divergence
2016-11-15,1.0712813507539611,-11379500.000000004,-0.0030336630551802703,1
2016-11-16,0.5545480258052056,-12189320.000000006,0.012840627091396667,1
2016-11-17,0.6878584892098223,-6040110.000000005,0.03406061458512888,0
2016-11-18,0.5479515563155664,-5015260.0,0.0383604503266454,0
2016-11-21,0.674755116841646,-2316560.000000003,0.03563930353024747,0
2016-11-22,0.6291136171396466,429489.99999999866,0.03465819558596472,1
2016-11-23,0.7619937740262692,707669.9999999992,0.00038771567603130576,1
2016-11-25,0.24288903259103675,-1587430.0000000014,0.02984245173857312,1
2016-11-28,0.4746879742719752,-2526680.0000000014,0.009600555534402701,1
2016-11-29,0.6536043268303466,-1004220.0000000013,0.029735663801772283,0
2016-11-30,1.0582748497659584,2634879.999999998,0.006802959737442927,1
2016-12-01,1.3548779603463472,8219389.999999999,-0.013574110159376061,1
2016-12-02,1.1256707003702269,6003919.999999997,-0.00907428491080997,1
2016-12-05,0.7404609866314154,820489.9999999992,0.004514466261010511,1
2016-12-06,0.9423627865222852,-2460090.000000001,0.006995453794160473,0
2016-12-07,0.9100166297212257,-3193190.0000000033,0.00971098299590744,1
2016-12-08,0.6965493840930862,-2339410.0000000005,0.02466424704963815,1
2016-12-09,0.9062824949578085,-782810.0000000012,0.029855598939041723,0
2016-12-12,1.0012121660839717,-1282730.0000000007,0.02648732724045729,1
2016-12-13,2.2549046999066835,6039189.999999998,0.03912979953320571,0
2016-12-14,1.197390533383624,5294999.999999999,0.04015747486174256,0
2016-12-15,0.9360108378773864,728509.9999999977,0.06363644614393481,1
2016-12-16,1.0683348318150705,-2566640.0000000014,0.04148678365191919,1
2016-12-19,0.851056719936807,-6914050.000000004,0.04106708268084422,1
2016-12-20,0.4697873931078749,-3619200.0000000014,0.035043051092252094,1
2016-12-21,0.2973336446965217,-4618810.000000001,0.022850951923225178,0
2016-12-22,0.7084416709263965,-3333720.0000000014,0.010383684636869535,1
2016-12-23,0.3818765602831843,-1907920.0000000005,0.00584297719414298,1
2016-12-27,0.6792263347870877,1122579.9999999993,0.019666219489238,0
2016-12-28,0.7587624479451486,2125740.0,-0.005579068205477956,1
2016-12-29,0.5810601330996684,221269.99999999866,-0.0002670219654002647,0
2016-12-30,1.8206449511215987,6263989.999999998,-0.022461067398306687,1
2017-01-03,0.9957671993098961,3616779.9999999986,-0.005794795197713386,1
2017-01-04,0.8848601151625114,1258789.9999999988,-0.006231536134975141,1
2017-01-05,0.9389557975379831,-724630.0000000012,-0.003054481269986358,0
2017-01-06,1.101342968401174,-3701270.0000000014,0.007659780961796083,0
2017-01-09,0.8643976525422412,-247160.00000000093,0.02001060916143492,1
2017-01-10,0.7492199967070001,-888010.0000000013,0.022422205505828116,1
2017-01-11,0.9638165757254833,-781430.0000000014,0.02386831942260927,0
2017-01-12,0.9950648636752263,-712680.000000002,0.02344767135078456,0
2017-01-13,0.8850826961701203,-51090.00000000113,0.03403059827612444,1
2017-01-17,0.7767176500317611,-703140.0000000013,0.044107980781932205,0
2017-01-18,0.6933238521332146,-2145660.0,0.04033915074020066,1
2017-01-19,0.7219010794410942,-1825470.000000001,0.028804566710631772,1
2017-01-20,1.21789189093828,849259.9999999991,0.029097988494475882,0
2017-01-23,0.9344857131294702,1538269.999999999,0.026590874828230963,1
2017-01-24,0.9430479422396567,1500589.9999999995,0.02598985063034317,0
2017-01-25,0.7910585686481185,20089.99999999909,0.02546307796152548,1
2017-01-26,0.8446403601200224,-1447560.0000000012,0.0237334960850438,0
2017-01-27,0.7982007209948319,-635110.0000000014,0.03558925103999965,1
2017-01-30,1.285980779738373,1474839.999999999,0.021318826406343683,1
2017-01-31,1.0425043125738216,1706429.9999999988,0.0198886159031933,0
2017-02-01,1.2465291872689022,1765749.9999999986,0.023283630789382385,0
2017-02-02,0.8339601260433199,-204800.00000000084,0.02257743528113391,0
2017-02-03,0.9460767179553558,-2008870.0000000019,0.020692587493011998,0
2017-02-06,0.6722020264722789,-2082670.0000000014,0.018641579362359727,1
2017-02-07,1.0178731730641457,-1411290.0000000005,0.0184998010029004,0
2017-02-08,0.7370732461077313,-448070.0,0.017596291210730638,1
2017-02-09,1.0383029851055456,210999.9999999995,0.017991786738991888,0
2017-02-10,0.8377798956184178,457279.9999999995,0.017533045454218195,1
2017-02-13,1.1435745181725967,450479.99999999854,0.03217081064576599,0
2017-02-14,0.9716867258437675,910629.9999999993,0.04408266592672275,1
2017-02-15,1.047566267726798,311519.9999999992,0.04212148056546886,0
2017-02-16,0.8778900589270103,113639.99999999901,0.04233221186101216,0
2017-02-17,0.9224556855339873,-834820.0000000007,0.04164000970174733,0
2017-02-21,1.0918974492298057,196449.99999999834,0.04371892332826323,0
